Date,Open,High,Low,Close,Volume
04/06/2022,"355.65","356.78","350.56","353.26","90,077,070"
04/05/2022,"367.81","368.54","359.93","361.10","62,738,660"
04/04/2022,"362.71","369.31","362.44","369.30","45,950,168"
04/01/2022,"362.81","363.61","358.59","361.85","54,527,762"
03/31/2022,"367.24","367.60","361.68","362.54","67,011,406"
03/30/2022,"369.28","370.98","365.57","367.09","68,757,711"
03/29/2022,"368.90","371.83","366.06","371.19","68,072,961"
03/28/2022,"359.34","365.01","358.07","364.91","56,833,871"
03/25/2022,"359.59","360.67","354.94","359.35","57,584,160"
03/24/2022,"353.80","359.70","351.59","359.65","53,555,246"
03/23/2022,"354.01","357.66","351.77","351.83","70,615,453"
03/22/2022,"350.59","357.85","350.20","356.96","63,345,930"
03/21/2022,"350.20","352.48","345.58","350.08","73,799,070"
03/18/2022,"342.74","351.79","341.55","351.49","85,446,352"
03/17/2022,"338.37","344.50","337.04","344.44","67,809,953"
03/16/2022,"332.17","340.44","328.40","340.32","105,243,000"
03/15/2022,"320.88","328.95","319.23","328.15","76,470,992"
03/14/2022,"323.13","326.59","317.45","318.17","79,802,609"
03/11/2022,"334.32","334.64","323.90","324.40","66,228,430"
03/10/2022,"330.82","332.51","326.71","331.27","69,362,711"
03/09/2022,"331.75","336.38","329.09","334.99","64,723,367"
03/08/2022,"324.05","333.21","319.94","323.35","116,153,906"
03/07/2022,"337.29","338.48","324.65","324.86","89,933,789"
03/04/2022,"339.84","341.31","334.92","337.30","77,009,758"
03/03/2022,"349.93","350.04","340.35","342.26","71,089,391"
03/02/2022,"343.08","348.59","340.24","347.22","70,609,023"
03/01/2022,"345.75","348.08","338.90","341.49","67,407,000"
02/28/2022,"342.51","348.54","341.32","346.80","77,515,539"
02/25/2022,"341.31","345.98","337.39","345.77","78,842,086"
02/24/2022,"318.84","341.04","318.26","340.49","130,614,094"
02/23/2022,"341.32","342.18","329.10","329.42","86,215,367"
02/22/2022,"338.49","344.04","334.35","338.08","85,967,102"
02/18/2022,"346.41","346.81","339.14","341.51","80,001,516"
02/17/2022,"352.74","353.46","345.02","345.45","61,801,352"
02/16/2022,"353.82","357.09","350.71","356.04","58,947,090"
02/15/2022,"352.91","356.37","351.82","356.13","55,390,809"
02/14/2022,"346.49","350.98","343.89","347.49","80,254,438"
