,Date,Open,High,Low,Close,Volume
187,04/04/2019,183.81,184.5,182.65,183.71,"28,530,830"
188,04/03/2019,183.74,184.92,183.21,183.78,"31,633,480"
189,04/02/2019,182.23,182.91,181.78,182.73,"22,645,150"
190,04/01/2019,181.42,182.26,180.77,182.04,"30,969,471"
191,03/29/2019,179.63,179.83,178.59,179.66,"35,205,512"
192,03/28/2019,178.36,178.98,177.24,178.31,"30,368,240"
193,03/27/2019,179.27,179.72,176.6,177.9,"37,096,699"
194,03/26/2019,179.58,180.69,178.14,179.05,"33,248,121"
195,03/25/2019,177.92,178.84,176.93,178.22,"46,336,520"
196,03/22/2019,181.76,182.27,178.37,178.56,"70,794,547"
197,03/21/2019,179.24,182.83,179.2,182.57,"42,428,480"
198,03/20/2019,179.06,180.86,178.24,179.76,"50,105,000"
199,03/19/2019,179.16,180.0,178.29,179.05,"36,893,340"
200,03/18/2019,177.95,178.99,177.59,178.45,"32,935,129"
201,03/15/2019,177.43,178.88,177.28,178.35,"38,191,961"
202,03/14/2019,177.12,177.34,176.66,176.71,"23,751,480"
203,03/13/2019,176.6,177.93,176.35,177.01,"42,426,141"
204,03/12/2019,175.17,176.14,174.77,175.69,"33,953,500"
205,03/11/2019,171.86,174.85,171.85,174.73,"30,518,410"
206,03/08/2019,169.51,171.26,169.34,171.17,"39,303,230"
207,03/07/2019,173.09,173.18,170.79,171.43,"39,407,441"
208,03/06/2019,174.68,174.75,173.28,173.56,"27,194,580"
209,03/05/2019,174.52,175.09,173.69,174.55,"22,319,859"
210,03/04/2019,175.37,175.79,172.47,174.42,"38,063,461"
211,03/01/2019,174.41,174.65,173.18,174.39,"31,431,160"
212,02/28/2019,173.04,173.81,172.7,173.19,"25,085,471"
213,02/27/2019,172.92,173.8,171.76,173.59,"25,162,010"
214,02/26/2019,173.04,174.25,172.81,173.7,"21,939,721"
215,02/25/2019,174.2,174.66,173.4,173.52,"32,608,750"
216,02/22/2019,171.98,173.01,171.9,172.89,"27,735,359"
217,02/21/2019,171.77,172.26,170.71,171.62,"25,207,400"
218,02/20/2019,172.43,173.08,171.32,172.25,"32,593,000"
